iter	Passed	Remaining
1579	164007	43596
1580	164117	43494
1581	164224	43391
1582	164332	43289
1583	164437	43185
1584	164545	43082
1585	164649	42979
1586	164758	42876
1587	164863	42773
1588	164971	42670
1589	165078	42567
1590	165184	42464
1591	165292	42361
1592	165397	42257
1593	165559	42168
1594	165691	42072
1595	165823	41975
1596	165954	41878
1597	166089	41782
1598	166226	41686
1599	166366	41591
1600	166477	41489
1601	166583	41385
1602	166693	41283
1603	166800	41180
1604	166908	41077
1605	167015	40973
1606	167123	40870
1607	167229	40767
1608	167337	40664
1609	167444	40561
1610	167550	40457
1611	167656	40354
1612	167765	40251
1613	167874	40148
1614	167983	40045
1615	168093	39943
1616	168201	39839
1617	168310	39737
1618	168420	39634
1619	168528	39531
1620	168636	39428
1621	168747	39325
1622	168858	39223
1623	168968	39120
1624	169080	39018
1625	169208	38920
1626	169318	38817
1627	169434	38716
1628	169558	38616
1629	169673	38514
1630	169792	38414
1631	169902	38311
1632	170014	38209
1633	170127	38106
1634	170247	38006
1635	170359	37904
1636	170476	37802
1637	170585	37699
1638	170696	37596
1639	170806	37494
1640	170918	37391
1641	171025	37288
1642	171133	37184
1643	171241	37081
1644	171349	36978
1645	171456	36874
1646	171564	36771
1647	171675	36668
1648	171784	36565
1649	171893	36462
1650	172002	36359
1651	172110	36255
1652	172218	36152
1653	172326	36048
1654	172435	35945
1655	172549	35843
1656	172665	35741
1657	172775	35638
1658	172882	35535
